Name,Team Name,Position,Age,Season,Injury,Date of Injury,Date of return
Jamaal Lascelles,Newcastle,Center Back,26,2019/20,Knee injury,9-Nov-19,13-Jan-20
Fabian Schär,Newcastle,Center Back,28,2019/20,Knee injury,20-Oct-19,24-Nov-19
Fabian Schär,Newcastle,Center Back,28,2019/20,Hamstring strain,2-Jan-20,17-Jan-20
Fabian Schär,Newcastle,Center Back,28,2019/20,Shoulder injury,16-Jul-20,28-Sep-20
Paul Dummett,Newcastle,Center Back,28,2019/20,Groin injury,22-Dec-19,10-Jan-20
Ciaran Clark,Newcastle,Center Back,30,2019/20,Calf injury,9-Dec-19,10-Jan-20
Ciaran Clark,Newcastle,Center Back,30,2019/20,Ankle injury,16-Feb-20,14-Sep-20
Jetro Willems,Newcastle,Left Back,26,2019/20,Knee injury,22-Sep-19,5-Oct-19
Jetro Willems,Newcastle,Left Back,26,2019/20,Knee injury,15-Dec-19,25-Dec-19
Jetro Willems,Newcastle,Left Back,26,2019/20,Cruciate ligament tear,18-Jan-20,20-Sep-20
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,Groin problems,28-Apr-19,28-Sep-19
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,Hip injury,27-Nov-19,10-Dec-19
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,Hand injury,5-Jan-20,23-Jan-20
Emil Krafth,Newcastle,Right Back,25,2019/20,Ankle injury,21-Jan-20,20-Jun-20
Emil Krafth,Newcastle,Right Back,25,2019/20,Ankle injury,21-Jul-20,11-Sep-20
Javier Manquillo,Newcastle,Right Back,26,2019/20,Hamstring strain,2-Jan-20,28-Feb-20
Isaac Hayden,Newcastle,Defensive Midfielder,25,2019/20,Hamstring strain,5-Jul-20,25-Jul-20
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,Ankle injury,1-Sep-19,28-Sep-19
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,Hamstring injury,1-Jul-20,25-Jul-20
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,Hamstring injury,22-Sep-19,5-Oct-19
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,Calf injury,9-Dec-19,20-Dec-19
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,Hamstring strain,18-Jan-20,28-Feb-20
Matt Ritchie,Newcastle,Right Midfielder,30,2019/20,Ankle injury,28-Aug-19,3-Jan-20
Allan Saint-Maximin,Newcastle,Left winger,23,2019/20,Hamstring strain,22-Sep-19,28-Sep-19
Miguel Almirón,Newcastle,Right winger,26,2019/20,Hamstring injury,9-Dec-19,20-Dec-19
Dwight Gayle,Newcastle,Center Forward,30,2019/20,Calf injury,8-Aug-19,5-Oct-19
Dwight Gayle,Newcastle,Center Forward,30,2019/20,Hamstring strain,2-Jan-20,10-Jan-20
Andy Carroll,Newcastle,Center Forward,31,2019/20,Groin injury,20-Oct-19,1-Nov-19
Andy Carroll,Newcastle,Center Forward,31,2019/20,Bruised ribs,26-Nov-19,3-Dec-19
Andy Carroll,Newcastle,Center Forward,31,2019/20,Knock,15-Jan-20,15-Jun-20
Andy Carroll,Newcastle,Center Forward,31,2019/20,Muscle injury,6-Jul-20,17-Jul-20
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,Hip injury,28-Sep-20,16-Oct-20
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,Muscle fatigue,22-Nov-20,17-Jan-21
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,Hamstring strain,31-Jan-21,14-Feb-21
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,Foot injury,4-Apr-21,1-Jun-21
Fabian Schär,Newcastle,Center Back,29,2020/21,Virus,29-Nov-20,25-Dec-20
Fabian Schär,Newcastle,Center Back,29,2020/21,Knee injury,7-Feb-21,25-Apr-21
Ciaran Clark,Newcastle,Center Back,31,2020/21,Calf injury,19-Jan-21,29-Jan-21
Ciaran Clark,Newcastle,Center Back,31,2020/21,Knock,4-Feb-21,14-Feb-21
Javier Manquillo,Newcastle,Right Back,27,2020/21,Ankle injury,7-Feb-21,10-Mar-21
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,Coronavirus,25-Nov-20,11-Dec-20
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,Knee injury,20-Mar-21,1-Jun-21
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,Groin injury,19-Oct-20,20-Nov-20
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,Hamstring injury,4-Jan-21,17-Jan-21
Matt Ritchie,Newcastle,Right Midfielder,31,2020/21,Shoulder injury,27-Sep-20,25-Nov-20
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,Ankle injury,21-Sep-20,1-Oct-20
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,Calf injury,22-Nov-20,22-Jan-21
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,Groin injury,28-Feb-21,4-Apr-21
Miguel Almirón,Newcastle,Right winger,27,2020/21,Knee injury,28-Feb-21,15-Mar-21
Dwight Gayle,Newcastle,Center Forward,31,2020/21,Inner ligament injury,5-Sep-20,11-Dec-20
Jamal Lewis,Newcastle,Left Back,23,2020/21,Knee problems,31-Dec-20,15-Jan-21
Ryan Fraser,Newcastle,Left winger,27,2020/21,Hamstring injury,2-Nov-20,15-Dec-20
Ryan Fraser,Newcastle,Left winger,27,2020/21,Groin injury,1-Apr-21,31-May-21
Callum Wilson,Newcastle,Center Forward,29,2020/21,Hamstring strain,7-Nov-20,26-Nov-20
Callum Wilson,Newcastle,Center Forward,29,2020/21,Hamstring injury,7-Feb-21,4-Apr-21
Callum Wilson,Newcastle,Center Forward,29,2020/21,Hamstring injury,8-May-21,25-May-21
Jamaal Lascelles,Newcastle,Center Back,28,2021/22,Ill,11-Feb-22,16-Feb-22
Paul Dummett,Newcastle,Center Back,30,2021/22,Calf injury,28-Jul-21,1-Jan-22
Joelinton,Newcastle,Central Midfielder,25,2021/22,Knock,7-Mar-22,15-Mar-22
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,Calf injury,15-Aug-21,15-Oct-21
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,Muscle injury,17-Dec-21,26-Dec-21
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,Calf problems,1-May-22,25-May-22
Allan Saint-Maximin,Newcastle,Left winger,25,2021/22,Ill & knock,14-Feb-22,12-Mar-22
Joe Willock,Newcastle,Central Midfielder,22,2021/22,Coronavirus,21-Dec-21,31-Dec-21
Joe Willock,Newcastle,Central Midfielder,22,2021/22,Knee injury,4-Apr-22,10-Apr-22
Joe Willock,Newcastle,Central Midfielder,22,2021/22,Knee injury,1-May-22,25-May-22
Ryan Fraser,Newcastle,Left winger,28,2021/22,Hamstring injury,8-Apr-22,9-May-22
Callum Wilson,Newcastle,Center Forward,30,2021/22,Hamstring injury,30-Aug-21,17-Oct-21
Callum Wilson,Newcastle,Center Forward,30,2021/22,Calf injury,27-Dec-21,1-May-22
Kieran Trippier,Newcastle,Right Back,31,2021/22,Metatarsal fracture,13-Feb-22,1-May-22
Chris Wood,Newcastle,Center Forward,30,2021/22,Hip injury,9-May-22,20-May-22
Fabian Schär,Newcastle,Center Back,31,2022/23,concussion,27-Feb-23,5-Mar-23
Joelinton,Newcastle,Central Midfielder,26,2022/23,Knock,22-May-23,31-May-23
Sean Longstaff,Newcastle,Central Midfielder,25,2022/23,Outer ligament problems,27-Apr-23,20-May-23
Jonjo Shelvey,Newcastle,Central Midfielder,31,2022/23,Hamstring injury,26-Jul-22,10-Oct-22
Allan Saint-Maximin,Newcastle,Left winger,26,2022/23,Hamstring injury,29-Aug-22,5-Oct-22
Allan Saint-Maximin,Newcastle,Left winger,26,2022/23,Muscle injury,14-Oct-22,26-Oct-22
Allan Saint-Maximin,Newcastle,Left winger,26,2022/23,Hamstring injury,6-Apr-23,5-May-23
Miguel Almirón,Newcastle,Right winger,29,2022/23,Thigh problems,15-Mar-23,15-Apr-23
Joe Willock,Newcastle,Central Midfielder,23,2022/23,Hamstring injury,18-May-23,5-Jun-23
Callum Wilson,Newcastle,Center Forward,31,2022/23,Hamstring injury,21-Aug-22,25-Sep-22
Bruno Guimarães,Newcastle,Defensive Midfielder,25,2022/23,Hamstring injury,25-Aug-22,16-Sep-22
Bruno Guimarães,Newcastle,Defensive Midfielder,25,2022/23,Ankle injury,1-Feb-23,20-Feb-23
Nick Pope,Newcastle,Goalkeeper,31,2022/23,Hand injury,23-May-23,20-Jun-23
Anthony Gordon,Newcastle,Left winger,22,2022/23,Ankle injury,10-Mar-23,1-Apr-23
Alexander Isak,Newcastle,Center Forward,23,2022/23,Thigh problems,20-Sep-22,4-Jan-23
Jamaal Lascelles,Newcastle,Center Back,30,2023/24,unknown injury,23-Dec-23,1-Jan-24
Fabian Schär,Newcastle,Center Back,32,2023/24,Hamstring injury,27-Apr-24,15-May-24
Joelinton,Newcastle,Central Midfielder,27,2023/24,Hamstring injury,13-Sep-23,15-Oct-23
Joelinton,Newcastle,Central Midfielder,27,2023/24,Hamstring injury,16-Dec-23,25-Dec-23
Joelinton,Newcastle,Central Midfielder,27,2023/24,Groin surgery,6-Jan-24,3-May-24
Sean Longstaff,Newcastle,Central Midfielder,26,2023/24,Ankle injury,11-Nov-23,8-Dec-23
Miguel Almirón,Newcastle,Right winger,30,2023/24,Knee injury,30-Mar-24,3-May-24
Joe Willock,Newcastle,Central Midfielder,24,2023/24,Hamstring injury,1-Aug-23,23-Oct-23
Joe Willock,Newcastle,Central Midfielder,24,2023/24,Achilles tendon problems,24-Nov-23,23-Feb-24
Joe Willock,Newcastle,Central Midfielder,24,2023/24,Achilles tendon problems,6-Apr-24,20-May-24
Elliot Anderson,Newcastle,Central Midfielder,18,2023/24,Back injury,23-Oct-23,25-Feb-24
Callum Wilson,Newcastle,Center Forward,32,2023/24,Hamstring injury,24-Sep-23,7-Oct-23
Callum Wilson,Newcastle,Center Forward,32,2023/24,Hamstring injury,7-Nov-23,8-Dec-23
Callum Wilson,Newcastle,Center Forward,32,2023/24,Calf injury,26-Dec-23,1-Feb-24
Callum Wilson,Newcastle,Center Forward,32,2023/24,Chest injury,11-Feb-24,15-Apr-24
Callum Wilson,Newcastle,Center Forward,32,2023/24,Ill,6-May-24,17-May-24
Dan Burn,Newcastle,Center Back,32,2023/24,Back injury,4-Nov-23,11-Dec-23
Kieran Trippier,Newcastle,Right Back,33,2023/24,Groin injury,26-Dec-23,5-Jan-24
Kieran Trippier,Newcastle,Right Back,33,2023/24,Calf injury,2-Mar-24,10-May-24
Sven Botman,Newcastle,Center Back,24,2023/24,Ankle injury,27-Aug-23,15-Sep-23
Sven Botman,Newcastle,Center Back,24,2023/24,Knee injury,28-Sep-23,15-Dec-23
Sven Botman,Newcastle,Center Back,24,2023/24,Cruciate ligament surgery,20-Mar-24,2-Dec-24
Lewis Miley,Newcastle,Central Midfielder,18,2023/24,Fever,16-Oct-23,1-Nov-23
Lewis Miley,Newcastle,Central Midfielder,18,2023/24,ack injury,25-Mar-24,20-May-24
Anthony Gordon,Newcastle,Left winger,23,2023/24,Ankle injury,15-May-24,27-May-24
Alexander Isak,Newcastle,Center Forward,24,2023/24,Groin injury,25-Oct-23,24-Nov-23
Alexander Isak,Newcastle,Center Forward,24,2023/24,Groin injury,30-Jan-24,23-Feb-24
Tino Livramento,Newcastle,Right Back,21,2023/24,Ill,12-Jan-24,20-Jan-24
Tino Livramento,Newcastle,Right Back,21,2023/24,Ankle injury,11-Mar-24,12-Apr-24
Tino Livramento,Newcastle,Right Back,21,2023/24,Ankle injury,14-May-24,27-May-24
Harvey Barnes,Newcastle,Left winger,26,2023/24,Foot injury,24-Sep-23,1-Feb-24
Harvey Barnes,Newcastle,Left winger,26,2023/24,Hamstring injury,2-Mar-24,30-Mar-24
Fabian Schär,Newcastle,Center Back,32,2023/24,concussion,27-Feb-23,5-Mar-23
Nick Pope,Newcastle,Goalkeeper,32,2023/24,Shoulder injury,2-Dec-23,2-May-24
Bernd Leno,Arsenal,Goalkeeper,28,2019/20,Ligament stretching,21-Jun-20,27-Aug-20
Sead Kolasinac,Arsenal,Center Back,27,2019/20,Hamstring injury,17-Nov-19,30-Nov-19
Sead Kolasinac,Arsenal,Center Back,27,2019/20,Arm injury,24-Feb-20,15-Jun-20
Sead Kolasinac,Arsenal,Center Back,27,2019/20,Muscle strain,15-Jan-20,15-Feb-20
Sead Kolasinac,Arsenal,Center Back,27,2019/20,Ankle injury,16-Dec-19,30-Dec-19
Sokratis Papastathopoulos,Arsenal,Center Back,32,2019/20,concussion,27-Dec-19,30-Dec-19
Calum Chambers,Arsenal,Center Back,25,2019/20,Cruciate ligament tear,29-Dec-19,8-Nov-20
Shkodran Mustafi,Arsenal,Center Back,28,2019/20,Muscle strain,29-Feb-20,15-Mar-20
Kieran Tierney,Arsenal,Left Back,23,2019/20,Shoulder injury,9-Dec-19,14-Mar-20
Kieran Tierney,Arsenal,Left Back,23,2019/20,Groin injury,13-Sep-20,27-Sep-20
Kieran Tierney,Arsenal,Left Back,23,2019/20,Knee injury,19-Jan-21,16-Feb-21
Kieran Tierney,Arsenal,Left Back,23,2019/20,Knee injury,3-Apr-21,5-May-21
Héctor Bellerín,Arsenal,Right Back,25,2019/20,Hamstring injury,6-Dec-19,14-Jan-20
Cédric Soares,Arsenal,Right Back,28,2019/20,Broken Nose and Knee Injury,21-Jan-20,26-Jun-20
Lucas Torreira,Arsenal,Defensive Midfielder,24,2019/20,Ankle injury,3-Mar-20,3-Jul-20
Granit Xhaka,Arsenal,Defensive Midfielder,27,2019/20,Back injury,12-Aug-19,23-Aug-19
Granit Xhaka,Arsenal,Defensive Midfielder,27,2019/20,concussion,9-Dec-19,17-Dec-19
Granit Xhaka,Arsenal,Defensive Midfielder,27,2019/20,Ankle injury,18-Jun-20,24-Jun-20
Mattéo Guendouzi,Arsenal,Central Midfielder,21,2019/20,Fitness,25-Jun-20,7-Oct-20
Dani Ceballos,Arsenal,Central Midfielder,23,2019/20,Torn muscle bundle,7-Nov-19,31-Dec-19
Mesut Özil,Arsenal,Attacking Midfielder,31,2019/20,Ankle injury,16-Dec-19,26-Dec-19
Gabriel Martinelli,Arsenal,Left winger,19,2019/20,Hamstring injury,23-Dec-19,6-Jan-20
Nicolas Pépé,Arsenal,Right winger,25,2019/20,Muscle fatigue,2-Jul-20,6-Jul-20
Reiss Nelson,Arsenal,Right winger,20,2019/20,Hamstring injury,9-Jan-20,24-Feb-20
Alexandre Lacazette,Arsenal,Center Forward,29,2019/20,Ankle injury,2-Sep-19,20-Oct-19
Shkodran Mustafi,Arsenal,Center Back,29,2020/21,Muscle injury,19-Jul-20,24-Oct-20
David Luiz,Arsenal,Center Back,33,2020/21,Hamstring injury,26-Oct-20,3-Nov-20
David Luiz,Arsenal,Center Back,33,2020/21,Neck injury,11-Sep-20,18-Sep-20
David Luiz,Arsenal,Center Back,33,2020/21,Ill,25-Dec-20,1-Jan-21
David Luiz,Arsenal,Center Back,33,2020/21,Head injury,25-Dec-20,1-Jan-21
Rob Holding,Arsenal,Center Back,25,2020/21,Hamstring injury,16-Oct-20,15-Dec-20
Pablo Marí,Arsenal,Center Back,27,2020/21,Ankle injury,15-Jun-20,3-Dec-20
Pablo Marí,Arsenal,Center Back,27,2020/21,Calf injury,14-Jan-21,8-Feb-21
Granit Xhaka,Arsenal,Defensive Midfielder,28,2020/21,Ill,1-Apr-21,4-Apr-21
Granit Xhaka,Arsenal,Defensive Midfielder,28,2020/21,Groin injury,6-May-21,16-May-21
Dani Ceballos,Arsenal,Central Midfielder,24,2020/21,Calf injury,15-Jan-21,1-Feb-21
Gabriel Martinelli,Arsenal,Left winger,20,2020/21,Ankle injury,9-Jan-21,17-Jan-21
Bukayo Saka,Arsenal,Right winger,19,2020/21,Hip problems,28-Jan-21,31-Jan-21
Pierre-Emerick Aubameyang,Arsenal,Center Forward,32,2020/21,Calf injury,17-Dec-20,28-Dec-20
Pierre-Emerick Aubameyang,Arsenal,Center Forward,32,2020/21,Knock,18-Jan-21,1-Feb-21
Pierre-Emerick Aubameyang,Arsenal,Center Forward,32,2020/21,malaria,8-Apr-21,26-Apr-21
Alexandre Lacazette,Arsenal,Center Forward,29,2020/21,Dead leg,18-Apr-21,6-May-21
Gabriel Magalhães,Arsenal,Center Back,23,2020/21,Coronavirus,26-Dec-20,13-Jan-21
Thomas Partey,Arsenal,Defensive Midfielder,28,2020/21,Muscle injury,9-Nov-20,3-Dec-20
Thomas Partey,Arsenal,Defensive Midfielder,28,2020/21,Hip injury,3-Dec-20,11-Jan-21
Thomas Partey,Arsenal,Defensive Midfielder,28,2020/21,Hamstring injury,4-Feb-21,22-Feb-21
Mohamed Elneny,Arsenal,Defensive Midfielder,28,2020/21,Virus,16-Nov-20,28-Nov-20
Martin Ødegaard,Arsenal,Attacking Midfielder,22,2020/21,Ankle injury,5-Apr-21,20-Apr-21
Willian,Arsenal,Left winger,32,2020/21,Calf injury,23-Nov-20,28-Nov-20
Willian,Arsenal,Left winger,32,2020/21,Ill,25-Dec-20,1-Jan-21
Kieran Tierney,Arsenal,Left Back,25,2021/22,Ankle problems,21-Oct-21,6-Nov-21
Kieran Tierney,Arsenal,Left Back,25,2021/22,Knee surgery,31-Mar-22,7-Jul-22
Granit Xhaka,Arsenal,Defensive Midfielder,29,2021/22,Inner ligament injury,27-Sep-21,5-Dec-21
Pierre-Emerick Aubameyang,Arsenal,Center Forward,33,2021/22,Coronavirus,2-Aug-21,16-Aug-21
Alexandre Lacazette,Arsenal,Center Forward,31,2021/22,Coronavirus,14-Apr-22,19-Apr-22
Gabriel Magalhães,Arsenal,Center Back,24,2021/22,Knee injury,6-Jul-21,25-Aug-21
Thomas Partey,Arsenal,Defensive Midfielder,29,2021/22,Ankle injury,29-Jul-21,30-Aug-21
Thomas Partey,Arsenal,Defensive Midfielder,29,2021/22,Knock,4-Apr-22,25-Jul-22
Ben White,Arsenal,Right Back,24,2021/22,Hamstring injury,25-Apr-22,15-May-22
Takehiro Tomiyasu,Arsenal,Right Back,23,2021/22,Calf injury,20-Feb-22,21-Apr-22
Gabriel Martinelli,Arsenal,Left winger,22,2022/23,Ankle injury,14-May-23,1-Jun-23
Eddie Nketiah,Arsenal,Center Forward,24,2022/23,Ankle injury,2-Mar-23,13-Apr-23
William Saliba,Arsenal,Center Back,22,2022/23,Back injury,16-Mar-23,1-Jul-23
Thomas Partey,Arsenal,Defensive Midfielder,30,2022/23,Thigh problems,25-Aug-22,15-Sep-22
Mohamed Elneny,Arsenal,Defensive Midfielder,30,2022/23,Thigh problems,27-Aug-22,1-Nov-22
Mohamed Elneny,Arsenal,Defensive Midfielder,30,2022/23,Knee injury,14-Jan-23,20-Sep-23
Takehiro Tomiyasu,Arsenal,Right Back,24,2022/23,muscular problems,3-Nov-22,15-Nov-22
Takehiro Tomiyasu,Arsenal,Right Back,24,2022/23,Knee surgery,16-Mar-23,1-Jul-23
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,Knee problems and Calf injury,26-Aug-22,1-Nov-22
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,unknown injury,14-Apr-23,17-Apr-23
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,Calf muscle tear,7-May-23,18-Aug-23
Gabriel Jesus,Arsenal,Center Forward,26,2022/23,Knee injury,2-Dec-22,11-Mar-23
Gabriel Martinelli,Arsenal,Left winger,23,2023/24,Hamstring injury,17-Sep-23,7-Oct-23
Gabriel Martinelli,Arsenal,Left winger,23,2023/24,Foot injury,5-Mar-24,29-Mar-24
Bukayo Saka,Arsenal,Right winger,22,2023/24,unknown injury,21-Mar-24,6-Apr-24
Bukayo Saka,Arsenal,Right winger,22,2023/24,Thigh problems,3-Oct-23,21-Oct-23
Thomas Partey,Arsenal,Defensive Midfielder,31,2023/24,Groin injury,2-Sep-23,3-Oct-23
Thomas Partey,Arsenal,Defensive Midfielder,31,2023/24,Hamstring injury,9-Nov-23,29-Feb-24
Martin Ødegaard,Arsenal,Attacking Midfielder,25,2023/24,Hip problems,3-Nov-23,22-Nov-23
Ben White,Arsenal,Right Back,26,2023/24,Knee injury,9-Nov-23,20-Nov-23
Takehiro Tomiyasu,Arsenal,Right Back,25,2023/24,Calf injury,3-Dec-23,20-Mar-24
Oleksandr Zinchenko,Arsenal,Left Back,27,2023/24,Calf problems,30-Dec-23,18-Jan-24
Gabriel Jesus,Arsenal,Center Forward,27,2023/24,Hamstring injury,24-Oct-23,19-Nov-23
Gabriel Jesus,Arsenal,Center Forward,27,2023/24,Knee injury,5-Jan-24,18-Jan-24
Tyrone Mings,Aston Villa,Center Back,28,2019/20,Muscle strain,9-Dec-19,31-Dec-19
Jed Steer,Aston Villa,Goalkeeper,27,2019/20,Calf injury,11-Nov-19,15-Jun-20
Anwar El Ghazi,Aston Villa,Right winger,24,2019/20,Knee injury,2-Dec-19,7-Dec-19
Matt Targett,Aston Villa,Left Back,24,2019/20,Muscle strain,28-Jun-20,11-Jul-20
Matt Targett,Aston Villa,Left Back,24,2019/20,Hamstring injury,31-Dec-19,17-Jan-20
Matt Targett,Aston Villa,Left Back,24,2019/20,Hamstring injury,29-Aug-19,24-Sep-19
Jack Grealish,Aston Villa,Left winger,24,2019/20,Calf injury,27-Oct-19,24-Nov-19
Neil Taylor,Aston Villa,Left Back,31,2019/20,Hamstring injury,13-Jul-20,25-Jul-20
Björn Engels,Aston Villa,Center Back,25,2019/20,Groin injury,3-Nov-19,30-Nov-19
Tom Heaton,Aston Villa,Goalkeeper,34,2019/20,Cruciate ligament injury,1-Jan-20,7-Nov-20
Tom Heaton,Aston Villa,Goalkeeper,34,2019/20,Calf strain,10-Nov-19,25-Nov-19
Matty Cash,Aston Villa,Right Back,24,2020/21,Hamstring injury,18-Feb-21,"Mar 7, 0202"
Ezri Konsa,Aston Villa,Center Back,23,2020/21,bruise,13-Dec-20,25-Dec-20
Kortney Hause,Aston Villa,Center Back,25,2020/21,Ankle injury,3-Jan-21,5-Apr-21
Bertrand Traoré,Aston Villa,Right winger,24,2020/21,Bruised ribs,2-Nov-20,20-Nov-20
Douglas Luiz,Aston Villa,Central Midfielder,23,2020/21,Hamstring injury,25-Oct-20,25-Nov-20
