Name,Team Name,Position,Age,Season,Injury,Date of Injury,Date of return
Mahmoud Trezeguet,Aston Villa,Left winger,26,2020/21,Head injury,1-Dec-20,21-Jan-21
Morgan Sanson,Aston Villa,Central Midfielder,26,2020/21,Knee problems,9-Apr-21,29-Aug-21
Ross Barkley,Aston Villa,Central Midfielder,27,2020/21,Hamstring injury,21-Nov-20,19-Jan-21
Emiliano Martínez,Aston Villa,Goalkeeper,29,2021/22,Knee problems,20-May-22,29-May-22
Ezri Konsa,Aston Villa,Center Back,24,2021/22,Knee injury,15-May-22,10-Jul-22
Lucas Digne,Aston Villa,Left Back,28,2021/22,Shoulder injury,9-Apr-22,25-Apr-22
Lucas Digne,Aston Villa,Left Back,28,2021/22,Hamstring injury,14-Mar-22,21-Mar-22
Leon Bailey,Aston Villa,Right winger,24,2021/22,Thigh problems,5-Dec-21,10-Feb-22
Marvelous Nakamba,Aston Villa,Defensive Midfielder,25,2021/22,Knee injury,11-Dec-21,31-Mar-22
Morgan Sanson,Aston Villa,Central Midfielder,27,2021/22,Knock,10-Apr-22,8-May-22
Morgan Sanson,Aston Villa,Central Midfielder,27,2021/22,Ill,30-Oct-21,6-Nov-21
Morgan Sanson,Aston Villa,Central Midfielder,27,2021/22,Coronavirus,12-Dec-21,25-Dec-21
Matty Cash,Aston Villa,Right Back,25,2022/23,Calf injury,29-Mar-23,3-May-23
Matty Cash,Aston Villa,Right Back,25,2022/23,Tendon rupture,3-Sep-22,28-Sep-22
Diego Carlos,Aston Villa,Center Back,30,2022/23,Achilles tendon rupture,11-Aug-22,12-Mar-23
John McGinn,Aston Villa,Central Midfielder,28,2022/23,Hamstring strain,1-Jan-23,4-Feb-23
Lucas Digne,Aston Villa,Left Back,29,2022/23,Shoulder injury,14-Jan-23,3-Feb-23
Lucas Digne,Aston Villa,Left Back,29,2022/23,Ankle injury,17-Sep-22,27-Oct-22
Álex Moreno,Aston Villa,Left Back,31,2022/23,Hamstring injury,20-May-23,15-Sep-23
acob Ramsey,Aston Villa,Attacking Midfielder,22,2022/23,Hamstring injury,23-Nov-22,8-Jan-23
Boubacar Kamara,Aston Villa,Defensive Midfielder,23,2022/23,Ankle injury,12-Mar-23,18-Mar-23
Boubacar Kamara,Aston Villa,Defensive Midfielder,23,2022/23,Knee injury,15-Sep-22,31-Oct-22
Matty Cash,Aston Villa,Defensive Midfielder,26,2023/24,Calf injury,12-May-24,12-Jun-24
Matty Cash,Aston Villa,Right Back,26,2023/24,Hamstring injury,21-Mar-24,12-Apr-24
Matty Cash,Aston Villa,Right Back,26,2023/24,Ill,29-Dec-23,31-Dec-23
Diego Carlos,Aston Villa,Center Back,31,2023/24,Hamstring injury,14-Feb-24,5-Mar-24
Ezri Konsa,Aston Villa,Center Back,26,2023/24,Knee injury,4-Feb-24,1-Mar-24
Youri Tielemans,Aston Villa,Central Midfielder,27,2023/24,Groin injury,27-Apr-24,10-Jun-24
Youri Tielemans,Aston Villa,Central Midfielder,27,2023/24,Calf injury,13-Dec-23,12-Jan-24
Lucas Digne,Aston Villa,Left Back,30,2023/24,Hamstring injury,26-Dec-23,6-Feb-24
Pau Torres,Aston Villa,Center Back,27,2023/24,Ankle injury,5-Jan-24,4-Feb-24
Pau Torres,Aston Villa,Center Back,27,2023/24,unknown injury,18-Dec-23,23-Dec-23
Álex Moreno,Aston Villa,Left Back,31,2023/24,minor knock,15-Apr-24,31-May-24
Jhon Durán,Aston Villa,Center Forward,20,2023/24,unknown injury,11-Aug-23,13-Aug-23
Jhon Durán,Aston Villa,Center Forward,20,2023/24,infection,21-Oct-23,23-Oct-23
Jhon Durán,Aston Villa,Center Forward,20,2023/24,infection,28-Oct-23,6-Nov-23
Jhon Durán,Aston Villa,Center Forward,20,2023/24,Hamstring injury,25-Jan-24,8-Mar-24
Morgan Rogers,Aston Villa,Attacking Midfielder,21,2023/24,Hamstring injury,6-May-24,1-Jun-24
Leon Bailey,Aston Villa,Right winger,26,2023/24,Ill,18-May-24,31-May-24
Jacob Ramsey,Aston Villa,Attacking Midfielder,23,2023/24,Metatarsal fracture,2-Jul-23,20-Sep-23
Jacob Ramsey,Aston Villa,Attacking Midfielder,23,2023/24,Foot injury,4-Oct-23,24-Nov-23
Jacob Ramsey,Aston Villa,Attacking Midfielder,23,2023/24,Hamstring injury,13-Jan-24,29-Jan-24
Jacob Ramsey,Aston Villa,Attacking Midfielder,23,2023/24,Toe injury,3-Mar-24,Present
Boubacar Kamara,Aston Villa,Defensive Midfielder,24,2023/24,Knee injury,11-Feb-24,Present
Philippe Coutinho,Aston Villa,Attacking Midfielder,32,2023/24,Hamstring injury,20-Aug-23,25-Sep-23
Joel Pereria,Man United,Goalkeeper,24,2019/20,Back injury,2-Aug-19,16-Aug-19
Harry Maguire,Man United,Center Back,27,2020/21,Ankle injury,9-May-21,13-Jun-21
Harry Maguire,Man United,Center Back,28,2021/22,Calf injury,25-Sep-21,15-Oct-21
Harry Maguire,Man United,Center Back,28,2021/22,Chest injury,1-Jan-22,14-Jan-22
Harry Maguire,Man United,Center Back,28,2021/22,Knee problems,26-Apr-22,3-May-22
Harry Maguire,Man United,Center Back,29,2022/23,Hamstring injury,26-Sep-22,25-Oct-22
Victor Lindelof,Man United,Center Back,25,2019/20,Ill,20-Jan-20,25-Jan-20
Victor Lindelof,Man United,Center Back,26,2020/21,Back injury,27-Dec-20,6-Jan-21
Victor Lindelof,Man United,Center Back,26,2021/22,Coronavirus,26-Dec-21,5-Jan-22
Victor Lindelof,Man United,Center Back,27,2021/22,Ill,31-Jan-22,7-Feb-22
Victor Lindelof,Man United,Center Back,28,2022/23,Back problems,7-Aug-22,31-Aug-22
Eric Bailly,Man United,Center Back,26,2019/20,Knee surgery,25-Jul-19,10-Jan-20
Eric Bailly,Man United,Center Back,26,2019/20,Neck injury,20-Jul-20,25-Jul-20
Eric Bailly,Man United,Center Back,27,2020/21,Muscle injury,18-Oct-20,1-Dec-20
Eric Bailly,Man United,Center Back,27,2020/21,Knock,21-Jan-21,25-Mar-21
Eric Bailly,Man United,Center Back,27,2020/21,Coronavirus,31-Mar-21,20-Apr-21
Eric Bailly,Man United,Center Back,28,2021/22,Ankle injury,3-Feb-22,16-Feb-22
Axel Tuanzebe,Man United,Center Back,22,2019/20,Hip injury,19-Oct-19,23-Nov-19
Axel Tuanzebe,Man United,Center Back,22,2019/20,Hamstring strain,18-Dec-19,5-Mar-20
Axel Tuanzebe,Man United,Center Back,23,2020/21,Ankle injury,18-Jun-20,19-Oct-20
Axel Tuanzebe,Man United,Center Back,24,2022/23,unknown injury,13-Jul-22,23-Jan-23
Phil Jones,Man United,Center Back,28,2019/20,Knock,26-Sep-19,19-Oct-19
Phil Jones,Man United,Center Back,28,2019/20,Knee injury,12-Jun-20,9-Sep-21
Luke Shaw,Man United,Left Back,24,2019/20,Hamstring injury,24-Aug-19,7-Oct-19
Luke Shaw,Man United,Left Back,24,2019/20,Muscle injury,18-Oct-19,27-Nov-19
Luke Shaw,Man United,Left Back,25,2020/21,Ankle injury,14-Jul-20,11-Sep-20
Luke Shaw,Man United,Left Back,25,2020/21,Hamstring injury,7-Nov-20,7-Dec-20
Luke Shaw,Man United,Left Back,26,2021/22,Head injury,20-Nov-21,7-Dec-21
Luke Shaw,Man United,Left Back,26,2021/22,Hamstring injury,18-Jan-22,31-Jan-22
Luke Shaw,Man United,Left Back,26,2021/22,Coronavirus,2-Mar-22,16-Mar-22
Luke Shaw,Man United,Left Back,26,2021/22,Leg injury,2-Apr-22,13-May-22
Luke Shaw,Man United,Left Back,27,2022/23,unknown injury,6-Apr-23,19-Apr-23
Brandon Williams,Man United,Left Back,19,2019/20,Head injury,14-Jul-20,18-Jul-20
Aaron Wan-Bissaka,Man United,Right Back,22,2019/20,Tonsillitis,27-Sep-19,19-Oct-19
Aaron Wan-Bissaka,Man United,Right Back,23,2021/22,Hand injury,29-Nov-21,4-Dec-21
Aaron Wan-Bissaka,Man United,Right Back,23,2021/22,Ill,14-Jan-22,23-Jan-22
Aaron Wan-Bissaka,Man United,Right Back,24,2022/23,Back problems,12-Sep-22,25-Oct-22
Nemanja Matic,Man United,Defensive Midfielder,31,2019/20,unknown injury,20-Oct-19,11-Dec-19
Nemanja Matic,Man United,Defensive Midfielder,32,2021/22,Shin injury,10-Feb-22,18-Feb-22
Paul Pogba,Man United,Central Midfielder,27,2019/20,Ankle problems,30-Sep-19,23-Dec-19
Paul Pogba,Man United,Central Midfielder,27,2019/20,Ankle problems,26-Dec-19,8-Jun-20
Paul Pogba,Man United,Central Midfielder,28,2020/21,Ankle injury,16-Nov-20,3-Dec-20
Paul Pogba,Man United,Central Midfielder,28,2020/21,Hamstring injury,4-Feb-21,18-Mar-21
Paul Pogba,Man United,Central Midfielder,28,2021/22,Hamstring injury,8-Nov-21,3-Feb-22
Paul Pogba,Man United,Central Midfielder,28,2021/22,Calf injury,18-Apr-22,23-May-22
Scott McToMinay,Man United,Central Midfielder,23,2019/20,Knee injury,11-Nov-19,4-Dec-19
Scott McToMinay,Man United,Central Midfielder,23,2019/20,Knee injury,27-Dec-19,22-Feb-20
Scott McToMinay,Man United,Central Midfielder,24,2020/21,bruise,22-Nov-20,1-Dec-20
Scott McToMinay,Man United,Central Midfielder,24,2020/21,Knock,18-Feb-21,26-Feb-21
Scott McToMinay,Man United,Central Midfielder,24,2021/22,Groin injury,26-Aug-21,16-Sep-21
Scott McToMinay,Man United,Central Midfielder,25,2021/22,Foot injury,6-Apr-22,18-Apr-22
Scott McToMinay,Man United,Central Midfielder,26,2022/23,unknown injury,27-Jan-23,18-Feb-23
Scott McToMinay,Man United,Central Midfielder,26,2022/23,unknown injury,9-Apr-23,11-May-23
Fred,Man United,Central Midfielder,27,2021/22,Coronavirus,7-Feb-22,14-Feb-22
Fred,Man United,Central Midfielder,27,2021/22,Hip flexor problems,9-Apr-22,30-Apr-22
Bruno Fernandes,Man United,Attacking Midfielder,25,2021/22,Ill,12-Mar-22,14-Mar-22
Jesse Lingard,Man United,Attacking Midfielder,27,2019/20,Ill,7-Sep-19,18-Sep-19
Jesse Lingard,Man United,Attacking Midfielder,27,2019/20,Hamstring injury,4-Oct-19,23-Oct-19
Jesse Lingard,Man United,Attacking Midfielder,27,2019/20,Ill,9-Jan-20,14-Jan-20
Juan Mata,Man United,Attacking Midfielder,32,2020/21,Muscle injury,25-Feb-21,3-Apr-21
Marcus Rashford,Man United,Left winger,22,2019/20,Back injury,16-Jan-20,5-Jun-20
Marcus Rashford,Man United,Left winger,23,2021/22,Shoulder injury,14-Jul-21,15-Oct-21
Marcus Rashford,Man United,Left winger,24,2021/22,Dead leg,13-Jan-22,17-Jan-22
Marcus Rashford,Man United,Left winger,24,2021/22,bronchitis,4-May-22,19-May-22
Marcus Rashford,Man United,Left winger,24,2022/23,Muscle injury,8-Apr-23,19-Apr-23
Marcus Rashford,Man United,Left winger,25,2022/23,Leg injury,11-May-23,24-May-23
Mason Greenwood,Man United,Right winger,18,2019/20,Tonsillitis,20-Sep-19,23-Sep-19
Mason Greenwood,Man United,Right winger,19,2020/21,bruise,17-Oct-20,23-Nov-20
Mason Greenwood,Man United,Right winger,20,2021/22,Coronavirus,19-Nov-21,27-Nov-21
Daniel James,Man United,Right winger,22,2019/20,Knock,28-Feb-20,7-Mar-20
Daniel James,Man United,Right winger,23,2020/21,unknown injury,30-Apr-21,21-May-21
Anthony Martial,Man United,Center Forward,24,2019/20,Hamstring strain,25-Aug-19,20-Oct-19
Anthony Martial,Man United,Center Forward,25,2020/21,Torn knee ligaments,29-Mar-21,2-Aug-21
Anthony Martial,Man United,Center Forward,26,2021/22,Fitness,15-Oct-21,29-Oct-21
Anthony Martial,Man United,Center Forward,26,2021/22,Knee injury,4-Dec-21,13-Dec-21
Anthony Martial,Man United,Center Forward,27,2022/23,Achilles tendon irritation,23-Aug-22,26-Sep-22
Anthony Martial,Man United,Center Forward,27,2022/23,Back injury,10-Oct-22,31-Oct-22
Anthony Martial,Man United,Center Forward,27,2022/23,Hip injury,2-Feb-23,8-Mar-23
Donny Van De Beek,Man United,Central Midfielder,30,2020/21,Muscle injury,1-Mar-21,15-Mar-21
Donny Van De Beek,Man United,Central Midfielder,32,2022/23,Shingles,3-Sep-22,24-Oct-22
Edinson Cavani,Man United,Center Forward,34,2020/21,Knock,6-Dec-20,18-Dec-20
Edinson Cavani,Man United,Center Forward,34,2020/21,Muscle injury,15-Feb-21,1-Mar-21
Edinson Cavani,Man United,Center Forward,34,2020/21,Knock,5-Mar-21,21-Mar-21
Edinson Cavani,Man United,Center Forward,35,2021/22,Tendon irritation,4-Nov-21,22-Dec-21
Edinson Cavani,Man United,Center Forward,35,2021/22,Groin problems,11-Feb-22,7-Mar-22
Edinson Cavani,Man United,Center Forward,35,2021/22,Calf injury,1-Apr-22,30-Apr-22
Raphael Varane,Man United,Center Back,30,2021/22,Groin injury,11-Oct-21,26-Oct-21
Raphael Varane,Man United,Center Back,30,2021/22,Hamstring injury,2-Nov-21,22-Dec-21
Raphael Varane,Man United,Center Back,30,2021/22,abdominal problems,14-Feb-22,18-Feb-22
Raphael Varane,Man United,Center Back,30,2021/22,muscular problems,3-Apr-22,21-Apr-22
Raphael Varane,Man United,Center Back,31,2022/23,Leg injury,22-Oct-22,14-Nov-22
Raphael Varane,Man United,Center Back,31,2022/23,Foot injury,14-Apr-23,8-May-23
Christiano Ronaldo,Man United,Center Forward,39,2021/22,Hip flexor problems,10-Jan-22,17-Jan-22
Christiano Ronaldo,Man United,Center Forward,39,2021/22,Hip flexor problems,3-Mar-22,7-Mar-22
Lisandro Martinez,Man United,Center Back,28,2022/23,Metatarsal fracture,14-Apr-23,30-Jun-23
Christian Eriksen,Man United,Central Midfielder,33,2022/23,Ankle injury,29-Jan-23,6-Apr-23
Marcel Sabitzer,Man United,Central Midfielder,32,2022/23,unknown injury,6-Mar-23,14-Mar-23
Marcel Sabitzer,Man United,Central Midfielder,32,2022/23,Groin problems,16-Apr-23,19-Apr-23
Marcel Sabitzer,Man United,Central Midfielder,32,2022/23,Meniscus injury,10-May-23,15-Jun-23
Jadon Sancho,Man United,Left winger,19,2021/22,Tonsillitis,26-Apr-22,8-May-22
Jadon Sancho,Man United,Left winger,20,2022/23,depression,26-Dec-22,31-Jan-23
David Raya,Brentford,Goalkeeper,26,2021/22,Knee injury,25-Oct-21,4-Feb-22
Kristoffer Ajer,Brentford,Center Back,24,2021/22,Hamstring injury,9-Jul-22,31-Aug-22
Kristoffer Ajer,Brentford,Center Back,26,2023/24,Foot injury,2-Dec-23,16-Jan-24
Kristoffer Ajer,Brentford,Center Back,26,2023/24,Calf strain,6-Apr-24,20-Apr-24
Ethan Pinnock,Brentford,Center Back,29,2023/24,Ankle injury,10-Feb-24,13-Apr-24
Rico Henry,Brentford,Left Back,24,2023/24,Knee injury,16-Sep-23,5-Oct-24
Christian Norgaard,Brentford,Defensive Midfielder ,30,2023/24,Foot injury,5-Jan-24,30-Jan-24
Christian Norgaard,Brentford,Defensive Midfielder ,30,2023/24,Back injury,9-Mar-24,16-Apr-24
Vitaly Janelt,Brentford,Defensive Midfielder ,24,2022/23,Knee injury,15-Mar-23,6-Apr-23
Christian Eriksen,Brentford,Central Midfielder,30,2021/22,Fitness,31-Jan-22,25-Feb-22
Mathias Jensen,Brentford,Central Midfielder,26,2021/22,Leg injury,7-Jul-21,31-Aug-21
Josh Dasilva,Brentford,Central Midfielder,23,2023/24,Hamstring injury,19-Aug-23,4-Jan-24
Josh Dasilva,Brentford,Central Midfielder,23,2023/24,Ankle injury,6-Dec-23,30-Mar-24
Josh Dasilva,Brentford,Central Midfielder,23,2023/24,Knee surgery,5-Feb-24,15-Mar-25
Frank Onyeka,Brentford,Central Midfielder,24,2021/22,Ankle injury,25-Mar-22,16-May-22
Frank Onyeka,Brentford,Central Midfielder,25,2022/23,Thigh problems,25-Mar-23,9-Apr-23
Shandon Baptiste,Brentford,Central Midfielder,24,2023/24,Shoulder injury,25-Aug-23,11-Nov-23
Samman Ghoddos,Brentford,Attacking Midfielder,28,2021/22,Coronavirus,19-Mar-22,26-Mar-22
Bryan Mbeumo,Brentford,Right winger,22,2023/24,Ankle injury,7-Dec-23,12-Mar-24
Sergi Canos,Brentford,Right winger,25,2022/23,Hamstring injury,1-Aug-22,5-Sep-22
Yoane Wissa,Brentford,Center Forward,25,2023/24,Ankle injury,14-Sep-24,30-Nov-24
Ben Mee,Brentford,Center Back,33,2023/24,Muscle injury,26-Sep-23,20-Oct-23
Ben Mee,Brentford,Center Back,33,2023/24,Ankle injury,26-Feb-24,30-Jun-24
Aaron Hickey,Brentford,Right Back,21,2022/23,Ankle injury,10-Oct-22,31-Dec-22
Aaron Hickey,Brentford,Right Back,22,2023/24,Hamstring injury,2-Nov-23,2-Apr-25
Kevin Schade,Brentford,Left winger,21,2023/24,Adductor injury,23-Sep-23,10-Apr-24
Mikkel Damsgaard,Brentford,Left winger,22,2023/24,Knee surgery,29-Sep-23,5-Dec-23
Mikkel Damsgaard,Brentford,Left winger,22,2023/24,Adductor pain,26-Aug-23,27-Sep-23
Keane Lewis-Potter,Brentford,Left winger,22,2022/23,Knee injury,5-Mar-23,2-May-23
Keane Lewis-Potter,Brentford,Left winger,22,2022/23,Fitness,11-Oct-22,31-Oct-22
Keane Lewis-Potter,Brentford,Left winger,22,2022/23,Ligament injury,5-Sep-22,10-Oct-22
Mark Flekken,Brentford,Goalkeeper,31,2023/24,cold,3-Oct-23,19-Oct-23
Nathan Collins,Brentford,Center Back,23,2023/24,Injury to the ankle,18-Nov-23,15-Dec-23
Nathan Collins,Brentford,Center Back,23,2023/24,unknown injury,17-May-24,26-Jun-24
Richarlison,Tottenham,Center Forward,27,2021/22,Calf injury,"Oct 15,2022","Nov 8,2022"
Richarlison,Tottenham,Center Forward,28,2022/23,Hamstring injury,"Dec 9,2022","Jan 13,2023"
Richarlison,Tottenham,Center Forward,28,2022/23,Groin Surgery,"Nov 10,2023","Dec 3,2023"
Sergio Reguilon,Tottenham,Left Back,24,2020/21,Ankle sprain,"Sep 7,2020","Sep 25,2020"
Sergio Reguilon,Tottenham,Left Back,24,2020/21,Muscle injury,"Jan 26,2021","Feb 19,2021"
Sergio Reguilon,Tottenham,Left Back,25,2021/22,Coronavirus,"Feb 15,2022","Feb 22,2022"
Sergio Reguilon,Tottenham,Left Back,25,2021/22,Groin Surgery,"Apr 30,2022","Jun 30,2022"
Ben Davies,Tottenham,Center Back,27,2019/20,Groin Surgery,"Jan 24,2019","Feb 25,2019"
Ben Davies,Tottenham,Center Back,27,2019/20,Ankle sprain,"Aug 8,2019","Aug 19,2019"
Ben Davies,Tottenham,Center Back,28,2020/21,Shin injury,"Nov 21,2020","Feb 10,2021"
Ben Davies,Tottenham,Center Back,30,2022/23,Shin injury,"Sep 15,2022","Oct 3,2022"
Heungmin Son,Tottenham,Left winger,28,2019/20,Broken arm,"Feb 17,2020","Apr 30,2020"
Heungmin Son,Tottenham,Left winger,29,2020/21,Hamstring injury,"Mar 15,2021","Apr 5,2021"
Heungmin Son,Tottenham,Left winger,30,2021/22,Calf injury,"Sep 6,2021","Sep 20,2021"
Heungmin Son,Tottenham,Left winger,30,2021/22,Hamstring injury,"Jan 6,2022","Feb 3,2022"
Heungmin Son,Tottenham,Left winger,31,2022/23,Facial fracture,"Nov 2,2022","Nov 20,2022"
Oliver Skipp,Tottenham,Defensive Midfielder,19,2019/20,Hip injury,"Nov 9,2019","Dec 4,2019"
Oliver Skipp,Tottenham,Defensive Midfielder,22,2021/22,Inflammation bone,"Feb 5,2022","Jun 30,2022"
Oliver Skipp,Tottenham,Defensive Midfielder,22,2022/23,Foot injury,"Jul 18,2022","Aug 29,2022"
Harry winks,Tottenham,Defensive Midfielder,24,2020/21,Ankle sprain,"Dec 6,2019","Dec 19,2019"
Harry winks,Tottenham,Defensive Midfielder,23,2019/20,Knock,"Nov 19,2020","Nov 25,2020"
Moussa Sissoko,Tottenham,Central Midfielder,30,2019/20,Knee Surgery,"Jan 2,2020","Mar 20,2020"
Lucas Moura,Tottenham,Right winger,29,2021/22,Ankle sprain,"Sep 16,2021","Sep 23,2021"
Lucas Moura,Tottenham,Right winger,30,2021/22,Dead leg,"Feb 24,2022","Mar 23,2022"
Lucas Moura,Tottenham,Right winger,30,2022/23,Calf injury,"Aug 29,2022","Oct 10,2022"
Dele Alli,Tottenham,Attacking Midfielder,23,2019/20,Hamstring injury,"Aug 4,2019","Aug 31,2019"
Dele Alli,Tottenham,Attacking Midfielder,24,2019/20,Muscle injury,"Jul 3,2020","Jul 25,2020"
Dele Alli,Tottenham,Attacking Midfielder,25,2020/21,Tendon irritation,"Jan 22,2021","Feb 9,2021"
Harry Kane,Tottenham,Center Forward,26,2019/20,Ill,"Nov 1,2019","Nov 4,2019"
Harry Kane,Tottenham,Center Forward,27,2019/20,Torn thigh muscle,"Jan 2,2020","Mar 9,2020"
Harry Kane,Tottenham,Center Forward,27,2019/20,Fitness,"Mar 9,2020","Apr 1,2020"
Harry Kane,Tottenham,Center Forward,28,2020/21,Ankle sprain,"Jan 29,2021","Feb 5,2021"
Harry Kane,Tottenham,Center Forward,28,2020/21,Ankle sprain,"Apr 16,2021","Apr 22,2021"
Hugo Lloris,Tottenham,Goalkeeper,32,2019/20,Elbow injury,"Oct 6,2019","Jan 18,2020"
Hugo Lloris,Tottenham,Goalkeeper,33,2019/20,Groin Strain,"Feb 6,2020","Mar 6,2020"
Hugo Lloris,Tottenham,Goalkeeper,36,2022/23,Knee injury,"Feb 6,2023","Mar 22,2023"
Hugo Lloris,Tottenham,Goalkeeper,36,2022/23,Thigh Problems,"Apr 24,2023","Oct 2,2023"
