Name,Team Name,Position,Age,Season,Injury,Date of Injury,Date of return
Davinson Sanchez,Tottenham,Center Back,23,2019/20,Ankle sprain,"Sep 12,2019","Sep 17,2019"
Davinson Sanchez,Tottenham,Center Back,25,2021/22,Quarantine,"Sep 9,2021","Sep 17,2021"
Eric Dier,Tottenham,Center Back,25,2019/20,Hip injury,"Aug 30,2019","Sep 12,2019"
Eric Dier,Tottenham,Center Back,26,2020/21,Muscle injury,"Oct 13,2020","Oct 25,2020"
Eric Dier,Tottenham,Center Back,28,2021/22,Thigh Problems,"Jan 3,2022","Jan 20,2022"
Eric Dier,Tottenham,Center Back,28,2021/22,Thigh Problems,"Feb 4,2022","Feb 15,2022"
Ryan Sessegnon,Tottenham,Left Back,21,2021/22,Bruise,"Sep 1,2021","Nov 14,2021"
Ryan Sessegnon,Tottenham,Left Back,21,2021/22,Muscle injury,"Dec 21,2021","Jan 7,2022"
Ryan Sessegnon,Tottenham,Left Back,22,2021/22,Hamstring injury,"Mar 7,2022","Apr 7,2022"
Ryan Sessegnon,Tottenham,Left Back,23,2022/23,Hamstring injury,"Feb 11,2023","Jun 30,2023"
Emerson Royal,Tottenham,Right Back,22,2021/22,Unknown surgery,"Dec 3,2021","Dec 13,2021"
Emerson Royal,Tottenham,Right Back,24,2022/23,Knee injury,"Mar 25,2023","May 1,2023"
Matt Doherty,Tottenham,Right Back,28,2020/21,Coronavirus,"Nov 16,2020","Nov 25,2020"
Matt Doherty,Tottenham,Right Back,29,2020/21,Unknown injury,"Jan 16,2021","Jan 26,2021"
Matt Doherty,Tottenham,Right Back,29,2020/21,Muscle injury,"Apr 1,2021","Apr 30,2021"
Matt Doherty,Tottenham,Right Back,29,2021/22,Unknown injury,"Oct 13,2021","Oct 26,2021"
Matt Doherty,Tottenham,Right Midfielder,30,2021/22,Internal ligament tear,"Apr 10,2022","Jul 10,2022"
Pierre Emile Hojberg,Tottenham,Defensive Midfielder,28,2022/23,Bruise,"May 10,2023","Jun 7,2023"
Rodrigo Bentacur,Tottenham,Defensive Midfielder,25,2021/22,Ankle injury,"Feb 25,2022","Mar 4,2022"
Rodrigo Bentacur,Tottenham,Defensive Midfielder,25,2022/23,Head injury,"Aug 28,2022","Sep 1,2022"
Rodrigo Bentacur,Tottenham,Defensive Midfielder,25,2022/23,Adductor pain,"Dec 3,2022","Jan 16,2023"
Rodrigo Bentacur,Tottenham,Defensive Midfielder,26,2022/23,Cruciate ligament tear,"Feb 12,2023","Oct 24,2023"
Rodrigo Bentacur,Tottenham,Defensive Midfielder,26,2023/24,Torn ankle ligaments,"Nov 27,2023","Dec 29,2023"
Tanguy Ndombele,Tottenham,Central Midfielder ,22,2019/20,Hamstring injury,"Aug 18,2019","Sep 12,2019"
Tanguy Ndombele,Tottenham,Central Midfielder ,22,2019/20,Groin Strain,"Nov 19,2019","Nov 26,2019"
Tanguy Ndombele,Tottenham,Central Midfielder ,22,2019/20,Groin Strain,"Dec 6,2019","Dec 21,2019"
Tanguy Ndombele,Tottenham,Central Midfielder ,23,2019/20,Groin Strain,"Jan 1,2020","Jan 21,2019"
Tanguy Ndombele,Tottenham,Central Midfielder ,23,2019/20,Knock,"Jul 13,2020","Jul 31,2020"
Tanguy Ndombele,Tottenham,Central Midfielder ,23,2020/21,Unknown injury,"Dec 5,2020","Dec 8,2020"
Giovani Lo Celso,Tottenham,Central Midfielder ,23,2019/20,Hip injury,"Sep 7,2019","Oct 20,2019"
Giovani Lo Celso,Tottenham,Central Midfielder ,24,2020/21,Hamstring injury,"Aug 22,2020","Sep 16,2020"
Giovani Lo Celso,Tottenham,Central Midfielder ,24,2020/21,Muscle Strain,"Oct 2,2020","Oct 21,2020"
Giovani Lo Celso,Tottenham,Central Midfielder ,24,2020/21,Hamstring injury,"Dec 20,2020","Mar 14,2021"
Giovani Lo Celso,Tottenham,Central Midfielder ,26,2021/22,Quarantine,"Sep 9,2021","Sep 17,2021"
Giovani Lo Celso,Tottenham,Central Midfielder ,25,2021/22,Knee injury,"Nov 18,2021","Dec 15,2021"
Giovani Lo Celso,Tottenham,Central Midfielder ,25,2021/22,Shin injury,"Dec 25,2021","Dec 30,2021"
Giovani Lo Celso,Tottenham,Central Midfielder ,27,2023/24,Hamstring injury,"Aug 29,2023","Oct 5,2023"
Giovani Lo Celso,Tottenham,Central Midfielder ,27,2023/24,Unknown injury,"Dec 14,2023","Dec 22,2024"
Giovani Lo Celso,Tottenham,Central Midfielder ,28,2023/24,Muscle Strain,"Jan 6,2024","Feb 11,2024"
Giovani Lo Celso,Tottenham,Central Midfielder ,28,2023/24,Knee injury,"May 15,2024","May 20,2024"
Bryan Gil,Tottenham,Left winger,20,2021/22,Hamstring injury,"Oct 25,2021","Nov 18,2021"
Bryan Gil,Tottenham,Left winger,20,2021/22,Coronavirus,"Dec 6,2021","Dec 23,2021"
Bryan Gil,Tottenham,Left winger,21,2022/23,Knock,"Aug 29,2022","Sep 12,2022"
Bryan Gil,Tottenham,Left winger,22,2023/24,Inflammation of pubic bone,"Aug 2,2023","Oct 5,2023"
Bryan Gil,Tottenham,Left winger,22,2020/21,Knock,"Nov 6,2020","Nov 20,2020"
Nick Pope,Burnley,Goalkeeper,28,2020/21,head injury,27-Nov-20,4-Dec-20
Nick Pope,Burnley,Goalkeeper,28,2020/21,knee surgery,12-May-21,30-Jun-21
Nick Pope,Burnley,Goalkeeper,29,2021/22,Coronavirus,29-Dec-21,6-Jan-22
James Tarkowski,Burnley,Center Back,27,2020/21,toe injury,16-Sep-20,29-Sep-20
Ben Mee,Burnley,Center Back,30,2019/20,hamstring strain,3-Jul-20,5-Nov-20
Ben Mee,Burnley,Center Back,31,2020/21,head injury,14-Feb-21,21-Feb-21
Ben Mee,Burnley,Center Back,32,2021/22,hairline fracture,1-Mar-22,30-Jun-22
Erik Pieters,Burnley,Center Back,32,2020/21,calf injury,20-Oct-20,22-Nov-20
Erik Pieters,Burnley,Center Back,33,2021/22,knee injury,26-Feb-22,2-May-22
Charlie Taylor,Burnley,Left Back,26,2019/20,hamstring strain,1-Dec-19,20-Dec-19
Charlie Taylor,Burnley,Left Back,26,2019/20,hamstring strain,3-Feb-20,14-Feb-20
Charlie Taylor,Burnley,Left Back,26,2020/21,hamstring strain,16-Jul-20,16-Sep-20
Charlie Taylor,Burnley,Left Back,27,2020/21,hamstring strain,30-Dec-20,15-Feb-21
Charlie Taylor,Burnley,Left Back,28,2021/22,Bruise on ankle,7-Jan-22,25-Feb-22
Matthew Lowton,Burnley,Right Back,30,2019/20,knee injury,3-Feb-20,10-Jun-20
Matthew Lowton,Burnley,Right Back,31,2019/20,ankle and knee injury,28-Jun-20,25-Oct-20
Phil Bardsley,Burnley,Right Back,34,2019/20,knock,5-Dec-19,13-Dec-19
Phil Bardsley,Burnley,Right Back,34,2019/20,back injury,20-Jan-20,1-Feb-20
Jack Cork,Burnley,Defensive Midfielder,30,2019/20,shoulder injury,29-Sep-19,25-Oct-19
Jack Cork,Burnley,Defensive Midfielder,31,2020/21,broken foot,30-Jun-20,13-Dec-20
Ashley Westwood,Burnley,Defensive Midfielder,30,2019/20,groin injury,24-Nov-19,13-Dec-19
Ashley Westwood,Burnley,Defensive Midfielder,33,2021/22,broken ankle,17-Apr-22,31-Dec-22
Josh Brownhill,Burnley,Central Midfielder,24,2020/21,ankle injury,28-Jan-21,12-Feb-21
Josh Brownhill,Burnley,Central Midfielder,26,2021/22,Coronavirus,13-Dec-21,6-Jan-22
Robbie Brady,Burnley,Left Midfielder,28,2020/21,chest injury,21-Sep-20,2-Oct-20
Robbie Brady,Burnley,Left Midfielder,28,2020/21,hamstring injury,24-Nov-20,4-Dec-20
Robbie Brady,Burnley,Left Midfielder,28,2020/21,hamstring injury,22-Dec-20,28-Dec-20
Robbie Brady,Burnley,Left Midfielder,29,2020/21,calf injury,1-Feb-21,12-Feb-21
Dwight McNeil,Burnley,Left winger,21,2020/21,groin injury,22-Dec-20,11-Jan-21
Jóhann Berg Gudmundsson,Burnley,Right winger,28,2019/20,calf strain,26-Aug-19,27-Sep-19
Jóhann Berg Gudmundsson,Burnley,Right winger,29,2019/20,hamstring strain,13-Oct-19,25-Dec-19
Jóhann Berg Gudmundsson,Burnley,Right winger,29,2019/20,hamstring strain,5-Jan-20,4-Jul-20
Jóhann Berg Gudmundsson,Burnley,Right winger,29,2020/21,knee injury,18-Sep-20,2-Oct-20
Jóhann Berg Gudmundsson,Burnley,Right winger,30,2020/21,hamstring strain,28-Oct-20,5-Nov-20
Jóhann Berg Gudmundsson,Burnley,Right winger,30,2020/21,hamstring strain,29-Nov-20,11-Jan-21
Jóhann Berg Gudmundsson,Burnley,Right winger,30,2020/21,groin strain,18-Feb-21,4-Mar-21
Jóhann Berg Gudmundsson,Burnley,Right winger,31,2021/22,appendectomy and calf injury,24-Jan-22,21-Aug-22
Jóhann Berg Gudmundsson,Burnley,Right winger,32,2023/24,muscle injury,23-Sep-23,22-Oct-23
Aaron Lennon,Burnley,Right winger,32,2019/20,ill,22-Dec-19,10-Jan-20
Chris Wood,Burnley,Center Forward,27,2019/20,hamstring injury,20-Oct-19,8-Nov-19
Chris Wood,Burnley,Center Forward,28,2019/20,hamstring strain,16-Feb-20,28-Feb-20
Chris Wood,Burnley,Center Forward,28,2019/20,calf injury,5-Jun-20,4-Jul-20
Chris Wood,Burnley,Center Forward,29,2020/21,hamstring strain,1-Feb-21,18-Feb-21
Ashley Barnes,Burnley,Center Forward,29,2019/20,groin injury,17-Oct-19,25-Oct-19
Ashley Barnes,Burnley,Center Forward,30,2019/20,groin injury,5-Dec-19,13-Dec-19
Ashley Barnes,Burnley,Center Forward,30,2019/20,groin surgery,2-Jan-20,29-Sep-20
Ashley Barnes,Burnley,Center Forward,31,2020/21,bruise,27-Jan-21,5-Feb-21
Ashley Barnes,Burnley,Center Forward,32,2021/22,groin injury,18-Nov-21,6-Feb-22
Jay Rodríguez,Burnley,Center Forward,30,2019/20,ill,5-Jan-20,18-Jan-20
Jay Rodríguez,Burnley,Center Forward,30,2019/20,hamstring strain,26-Jun-20,4-Jul-20
Jay Rodríguez,Burnley,Center Forward,31,2020/21,ankle injury,23-Sep-20,18-Oct-20
Jay Rodríguez,Burnley,Center Forward,32,2020/21,knee injury,28-Dec-20,11-Jan-21
Jay Rodríguez,Burnley,Center Forward,33,2021/22,hamstring injury,29-Apr-20,7-Aug-20
Matej Vydra,Burnley,Center Forward,27,2019/20,hip injury,3-Nov-19,3-Dec-19
Matej Vydra,Burnley,Center Forward,28,2020/21,back injury,18-Dec-20,11-Jan-20
Matej Vydra,Burnley,Center Forward,28,2020/21,hamstring injury,10-Feb-21,18-Feb-21
Matej Vydra,Burnley,Center Forward,29,2021/22,groin surgery and elbow injury,3-Feb-22,28-Feb-22
Dale Stephens,Burnley,Central Midfielder,31,2020/21,hamstring injury,19-Nov-20,13-Dec-20
Dale Stephens,Burnley,Central Midfielder,31,2020/21,knock,14-Feb-21,18-Feb-21
Connor Roberts,Burnley,Right Back,26,2021/22,infection,8-Dec-21,9-Jan-22
Maxwel Cornet,Burnley,Left winger,25,2021/22,hamstring injury,4-Dec-21,31-Dec-21
Maxwel Cornet,Burnley,Left winger,25,2021/22,knee problems,22-Apr-22,5-May-22
Jordan Beyer,Burnley,Center Back,23,2023/24,meniscus injury,4-Oct-23,30-Oct-23
Jordan Beyer,Burnley,Center Back,23,2023/24,knee injury,8-Jan-24,Present
Hjalmar Ekdal,Burnley,Center Back,23,2023/24,knee injury,30-Aug-23,18-Nov-23
Mike Trésor,Burnley,Left winger,24,2023/24,hamstring injury,10-Aug-23,17-Sep-23
Luca Koleosho,Burnley,Right winger,19,2023/24,knee injury,6-Dec-23,17-Jun-24
Nathan Redmond,Burnley,Right winger,29,2023/24,unknown injur,10-Sep-23,15-Oct-23
Lyle Foster,Burnley,Center Forward,23,2023/24,depression,9-Nov-23,10-Dec-23
Ameen Al-Dakhil,Burnley,Center Back,21,2023/24,muscle injury,8-Feb-24,23-Sep-24
Vitinho,Burnley,Right Back,24,2023/24,knee injury,30-Aug-23,25-Sep-23
Jordan Pickford,Everton,Goalkeeper,26,2020/21,chest injury,28-Jan-21,18-Feb-21
Jordan Pickford,Everton,Goalkeeper,27,2021/22,shoulder injury,13-Sep-21,27-Sep-21
Jordan Pickford,Everton,Goalkeeper,28,2022/23,thigh problems,9-Sep-22,27-Sep-22
Michael Keane,Everton,Center Back,27,2019/20,neck injury,17-Jan-20,20-Jan-20
Yerry Mina,Everton,Center Back,25,2019/20,knee injury,20-Oct-19,2-Nov-19
Yerry Mina,Everton,Center Back,25,2019/20,bruise,6-Dec-19,14-Dec-19
Yerry Mina,Everton,Center Back,25,2019/20,muscle injury,2-Jun-20,30-Jun-20
Yerry Mina,Everton,Center Back,25,2019/20,muscle injury,13-Jul-20,12-Sep-20
Yerry Mina,Everton,Center Back,26,2020/21,calf injury,18-Feb-21,12-Mar-21
Yerry Mina,Everton,Center Back,27,2021/22,thigh problems,22-Oct-21,30-Nov-21
Yerry Mina,Everton,Center Back,27,2021/22,hamstring injury,8-Feb-22,11-Apr-22
Yerry Mina,Everton,Center Back,27,2022/23,ankle injury,6-Aug-22,31-Oct-22
Mason Holgate,Everton,Center Back,22,2019/20,calf injury,7-Jul-20,15-Jul-20
Mason Holgate,Everton,Center Back,22,2020/21,ankle injury,18-Sep-20,6-Nov-20
Mason Holgate,Everton,Center Back,24,2022/23,knee injury,27-Aug-22,16-Oct-22
Lucas Digne,Everton,Left Back,26,2019/20,calf injury,9-Feb-20,7-Mar-20
Lucas Digne,Everton,Left Back,27,2020/21,ankle injury,26-Nov-20,11-Jan-21
Djibril Sidibé,Everton,Right Back,27,2019/20,unknown injury,15-Dec-19,18-Dec-19
Djibril Sidibé,Everton,Right Back,27,2019/20,foot injury,21-Jun-20,1-Jul-20
Séamus Coleman,Everton,Right Back,30,2019/20,hamstring injury,24-Nov-19,14-Dec-19
Séamus Coleman,Everton,Right Back,30,2019/20,hamstring strain,2-Mar-20,14-Jun-20
Séamus Coleman,Everton,Right Back,31,2020/21,muscle injury,17-Oct-20,18-Dec-20
Séamus Coleman,Everton,Right Back,31,2021/22,hamstring injury,17-Sep-21,15-Oct-21
Séamus Coleman,Everton,Right Back,33,2022/23,knee injury,1-May-23,23-Nov-23
Jean-Philippe Gbamin,Everton,Defensive Midfielder,24,2019/20,"hamstring injury, archilles tendon rupture and inner ligament injury",18-Aug-19,30-Jun-21
Morgan Schneiderlin,Everton,Defensive Midfielder,29,2019/20,calf strain,8-Dec-19,4-Jan-20
Morgan Schneiderlin,Everton,Defensive Midfielder,29,2019/20,knee injury,24-Feb-20,22-Aug-20
André Gomes,Everton,Central Midfielder,26,2019/20,bruised ribs,2-Sep-19,4-Oct-19
André Gomes,Everton,Central Midfielder,26,2019/20,ankle injury,4-Nov-19,21-Feb-20
André Gomes,Everton,Central Midfielder,27,2020/21,bruise,27-Sep-20,16-Oct-20
André Gomes,Everton,Central Midfielder,28,2021/22,calf injury,21-Sep-21,5-Dec-21
André Gomes,Everton,Central Midfielder,29,2023/24,fitness,13-Aug-23,3-Dec-23
Tom Davies,Everton,Central Midfielder,21,2019/20,ill,30-Jan-20,4-Feb-20
Tom Davies,Everton,Central Midfielder,22,2020/21,bruise,28-Oct-20,4-Nov-20
Tom Davies,Everton,Central Midfielder,23,2021/22,knee injury,19-Nov-21,30-Jun-22
Fabian Delph,Everton,Central Midfielder,28,2019/20,calf injury,3-Aug-19,31-Aug-19
Fabian Delph,Everton,Central Midfielder,28,2019/20,muscle injury,6-Oct-19,24-Oct-19
Fabian Delph,Everton,Central Midfielder,28,2019/20,muscle injury,4-Nov-19,20-Dec-19
Fabian Delph,Everton,Central Midfielder,29,2019/20,calf injury,2-Jun-20,23-Sep-20
Fabian Delph,Everton,Central Midfielder,29,2020/21,bruise,2-Nov-20,27-Nov-20
Fabian Delph,Everton,Central Midfielder,30,2020/21,hamstring injury,6-Dec-20,3-Feb-21
Fabian Delph,Everton,Central Midfielder,30,2021/22,shoulder injury,27-Aug-21,25-Oct-21
Fabian Delph,Everton,Central Midfielder,31,2021/22,hamstring injury,21-Jan-22,5-Apr-22
Gylfi Sigurdsson,Everton,Attacking Midfielder,30,2019/20,knock,8-Dec-19,20-Dec-19
Gylfi Sigurdsson,Everton,Attacking Midfielder,30,2019/20,groin injury,12-Jan-20,31-Jan-20
Alex Iwobi,Everton,Left winger,23,2019/20,hamstring injury,23-Dec-19,27-Jan-20
Alex Iwobi,Everton,Left winger,25,2021/22,calf injury,1-Oct-21,13-Oct-21
Alex Iwobi,Everton,Left winger,27,2023/24,hamstring injury,20-Aug-23,15-Sep-23
Bernard,Everton,Left winger,27,2019/20,ill,26-Sep-19,4-Oct-19
Bernard,Everton,Left winger,27,2019/20,knee injury,27-Oct-19,30-Nov-19
Bernard,Everton,Left winger,27,2019/20,knee injury,1-Jan-20,4-Jan-20
Anthony Gordon,Everton,Left winger,21,2022/23,ill,29-Dec-22,4-Jan-23
Theo Walcott,Everton,Right winger,30,2019/20,head injury,9-Sep-19,18-Oct-19
Theo Walcott,Everton,Right winger,30,2019/20,knock,24-Nov-19,4-Dec-19
Theo Walcott,Everton,Right winger,30,2019/20,calf strain,8-Dec-19,25-Dec-19
Theo Walcott,Everton,Right winger,30,2019/20,knee injury,9-Feb-20,28-Feb-20
Theo Walcott,Everton,Right winger,31,2019/20,abdominal muscle strain,8-Jun-20,8-Jul-20
Richarlison,Everton,Center Forward,22,2019/20,knee injury,12-Jan-20,30-Jan-20
Richarlison,Everton,Center Forward,23,2020/21,head injury,5-Dec-20,31-Dec-20
Richarlison,Everton,Center Forward,24,2021/22,knee injury,13-Sep-21,22-Oct-21
Richarlison,Everton,Center Forward,24,2021/22,calf injury,12-Dec-21,12-Jan-22
Moise Kean,Everton,Center Forward,20,2019/20,knee injury,17-Jul-20,25-Jul-20
Dominic Calvert-Lewin,Everton,Center Forward,23,2020/21,muscle injury,2-Jan-21,26-Jan-21
Dominic Calvert-Lewin,Everton,Center Forward,23,2020/21,hamstring injury,11-Feb-21,19-Feb-21
Dominic Calvert-Lewin,Everton,Center Forward,24,2021/22,broken toe,28-Aug-21,31-Dec-21
Dominic Calvert-Lewin,Everton,Center Forward,25,2021/22,hamstring injury,12-Apr-22,30-Apr-22
Dominic Calvert-Lewin,Everton,Center Forward,25,2022/23,knee injury,4-Aug-22,3-Oct-22
Dominic Calvert-Lewin,Everton,Center Forward,25,2022/23,hamstring injury,5-Nov-22,28-Dec-22
Dominic Calvert-Lewin,Everton,Center Forward,25,2022/23,hamstring injury,4-Feb-23,20-Apr-23
Dominic Calvert-Lewin,Everton,Center Forward,26,2022/23,hamstring injury,20-May-23,20-Jun-23
Dominic Calvert-Lewin,Everton,Center Forward,26,2023/24,fitness and broken cheekbone,1-Aug-23,14-Sep-23
Dominic Calvert-Lewin,Everton,Center Forward,27,2023/24,ill,25-Apr-24,1-May-24
Cenk Tosun,Everton,Center Forward,28,2019/20,groin injury,18-Oct-19,27-Oct-19
Cenk Tosun,Everton,Center Forward,28,2019/20,cruciate ligament surgery,2-Mar-20,26-Oct-20
Ben Godfrey,Everton,Center Back,22,2020/21,hamstring injury,26-Oct-20,6-Nov-20
Ben Godfrey,Everton,Center Back,24,2022/23,broken fibula,6-Aug-22,5-Nov-22
Ben Godfrey,Everton,Center Back,25,2022/23,adductor injury,30-Apr-23,30-May-23
Allan,Everton,Defensive Midfielder,29,2020/21,groin injury,2-Oct-20,16-Oct-20
Allan,Everton,Defensive Midfielder,29,2020/21,muscle injury,17-Dec-20,13-Feb-21
Abdoulaye Doucouré,Everton,Central Midfielder,28,2020/21,foot injury,4-Mar-21,7-May-21
Abdoulaye Doucouré,Everton,Central Midfielder,28,2021/22,stress reaction of the bone,17-Oct-21,28-Nov-21
Abdoulaye Doucouré,Everton,Central Midfielder,29,2022/23,hamstring injury,13-Aug-22,3-Oct-22
Abdoulaye Doucouré,Everton,Central Midfielder,30,2023/24,thigh problems,17-Dec-23,12-Jan-24
James Rodríguez,Everton,Attacking Midfielder,29,2020/21,groin injury,26-Oct-20,6-Nov-20
James Rodríguez,Everton,Attacking Midfielder,29,2020/21,calf strain,6-Dec-20,31-Dec-20
James Rodríguez,Everton,Attacking Midfielder,29,2020/21,calf injury,22-Feb-21,1-Apr-21
James Rodríguez,Everton,Attacking Midfielder,29,2020/21,calf injury,1-May-21,14-May-21
Vitaliy Mykolenko,Everton,Left Back,22,2021/22,Coronavirus,7-Feb-22,16-Feb-22
Vitaliy Mykolenko,Everton,Left Back,22,2022/23,muscle fatigue,13-May-23,5-Jun-23
Vitaliy Mykolenko,Everton,Left Back,24,2023/24,groin injury,15-Dec-23,22-Dec-23
Vitaliy Mykolenko,Everton,Left Back,24,2023/24,cold,28-Mar-24,1-Apr-24
Vitaliy Mykolenko,Everton,Left Back,24,2023/24,ankle injury,25-Apr-24,4-Jun-24
Nathan Patterson,Everton,Right Back,19,2022/23,ankle injury,21-Sep-22,26-Oct-22
Nathan Patterson,Everton,Right Back,20,2023/24,hamstring injury,15-Apr-24,11-Jun-24
Donny van de Beek,Everton,Central Midfielder,24,2021/22,thigh problems,31-Mar-22,16-May-22
Andros Townsend,Everton,Right winger,30,2021/22,broken foot,14-Dec-21,6-Jan-22
Amadou Onana,Everton,Defensive Midfielder,21,2022/23,leg injury,14-Apr-23,24-Apr-23
Amadou Onana,Everton,Defensive Midfielder,22,2023/24,calf injury,11-Nov-23,8-Dec-23
James Garner,Everton,Defensive Midfielder,21,2022/23,back injury,12-Nov-22,9-Feb-23
Dwight McNeil,Everton,Left winger,23,2023/24,ankle injury,29-Jul-23,1-Sep-23
Ashley Young,Everton,Left Back,38,2023/24,muscle injury,11-Dec-23,25-Jan-24
Jack Harrison,Everton,Right winger,26,2023/24,hip injury,1-Jul-23,21-Sep-23
Beto,Everton,Center Forward,25,2023/24,knee injury,23-Nov-23,28-Nov-23
